Descrição dos resultados obtidos,,,,,,,,,,,,
*IPE: Índice de Permanência Estrutural (%),,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. Original] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Mapa_classificação_contextual5X5_MPAD_6DP.tif,5,0.87,5.21,3.67,0.84,0.91,1,0.69,0.94,0.77,0.88,6
Mapa_classificação_contextual5X5_MPAD_7DP.tif,5,0.87,5.09,3.55,0.84,0.91,1,0.67,0.95,0.77,0.88,7
Mapa_classificação_contextual5X5_MPAD_8DP.tif,5,0.87,5.21,3.67,0.84,0.92,1,0.66,0.96,0.77,0.89,8
Mapa_classificação_contextual5X5_MPAD_9DP.tif,5,0.87,5.21,3.67,0.84,0.92,1,0.66,0.96,0.77,0.9,9
Mapa_classificação_contextual5X5_MPAD_10DP.tif,5,0.87,5.46,3.91,0.84,0.93,1,0.64,0.96,0.77,0.91,10
Mapa_classificação_contextual5X5_MPAD_11DP.tif,5,0.87,5.83,4.28,0.85,0.93,1,0.64,0.97,0.77,0.92,11
Mapa_classificação_contextual5X5_MPAD_12DP.tif,5,0.87,5.71,4.16,0.85,0.94,1,0.63,0.97,0.77,0.92,12
Mapa_classificação_contextual5X5_MPAD_13DP.tif,5,0.87,5.83,4.28,0.85,0.94,1,0.61,0.97,0.77,0.93,13
Mapa_classificação_contextual5X5_MPAD_14DP.tif,5,0.87,6.08,4.52,0.85,0.95,1,0.61,0.97,0.77,0.94,14
Mapa_classificação_contextual5X5_MPAD_15DP.tif,5,0.87,5.83,4.28,0.85,0.95,1,0.6,0.97,0.77,0.94,15
